交易对象	收入/w	支出/w	应收账款/w	应出账款/w	交易日期
a司	10000	2000	5000	0	2016-12-05
b司	1000	5000	0	5000	2017-01-05
c公司	100	50	50	0	2017-01-05
c公司	100	50	50	0	2017-01-09
c公司	100	50	50	0	2017-02-01
c公司	100	50	50	0	2017-02-05
c公司	100	50	50	0	2017-03-05
c公司	100	50	50	0	2017-04-05
c公司	100	50	50	0	2017-05-05
c公司	100	50	50	0	2017-05-15
c公司	100	50	50	0	2017-06-05
b司	100	100	0	0	2017-06-06
b司	200	0	200	0	2017-06-06
a司	50	0	50	0	2017-06-06
c公司	60	10	50	0	2017-06-06
a司	50	50	50	0	2017-06-06
c公司	50	50	20	20	2017-06-06
a司	30	10	10	30	2017-06-06
b司	20	50	30	0	2017-06-06
